iter	RMSE
2691	0.0535595103
2692	0.05355360712
2693	0.05354082726
2694	0.05352965885
2695	0.05351229292
2696	0.05349971522
2697	0.05349128021
2698	0.05348798195
2699	0.05347311502
2700	0.05346070827
2701	0.05343964977
2702	0.0534323648
2703	0.05341625545
2704	0.05340914878
2705	0.05339213783
2706	0.05337660254
2707	0.05336710887
2708	0.05335021703
2709	0.053342132
2710	0.05332960148
2711	0.05331426235
2712	0.05330135151
2713	0.05329717809
2714	0.05328761897
2715	0.05328411478
2716	0.05327702325
2717	0.05325637454
2718	0.05324583305
2719	0.05322984373
2720	0.05321284033
2721	0.05319893988
2722	0.05318283152
2723	0.0531779816
2724	0.05316885456
2725	0.0531509023
2726	0.05312068275
2727	0.05310955915
2728	0.05309446726
2729	0.05306637561
2730	0.05306007994
2731	0.05304782856
2732	0.05303213916
2733	0.05302255328
2734	0.05301664531
2735	0.0530093455
2736	0.05299564268
2737	0.05298655542
2738	0.05298039229
2739	0.05296739537
2740	0.05295315957
2741	0.05294004072
2742	0.0529266238
2743	0.05291456744
2744	0.05290151675
2745	0.05289336747
2746	0.05288061552
2747	0.05286774266
2748	0.05285900825
2749	0.05285158797
2750	0.05283142309
2751	0.05282562206
2752	0.05280696724
2753	0.05280528039
2754	0.05280169788
2755	0.05278946063
2756	0.05278055758
2757	0.05276937668
2758	0.05276613648
2759	0.05275849769
2760	0.05275061425
2761	0.05274278714
2762	0.05272946613
2763	0.0527196437
2764	0.05271714558
2765	0.05270223957
2766	0.05269234397
2767	0.05266879926
2768	0.05266393986
2769	0.05265558114
2770	0.05263779771
2771	0.05262920535
2772	0.05262037149
2773	0.05260275121
2774	0.05259558664
2775	0.05258672969
2776	0.05257134467
2777	0.05255762289
2778	0.05254848102
2779	0.05253521977
2780	0.05252780189
2781	0.05252238924
2782	0.05251532605
2783	0.05248962176
2784	0.05247347984
2785	0.05245918648
2786	0.05244946815
2787	0.05244648555
2788	0.05243635625
2789	0.05242083489
2790	0.05241097417
2791	0.05239759382
2792	0.05238360661
2793	0.05237624634
2794	0.05235933439
2795	0.05234581924
2796	0.05233371916
2797	0.05232798588
2798	0.05231818378
2799	0.05230273415
2800	0.05229439131
2801	0.05228786304
2802	0.05228020926
2803	0.05227371484
2804	0.05225624332
2805	0.052245695
2806	0.05223868817
2807	0.05223217285
2808	0.05221144541
2809	0.05219732354
2810	0.05219569638
2811	0.05217981363
2812	0.05217351283
2813	0.0521636923
